model_name,jaccard_score,accuracy_score,precision_score,recall_score,f1_score
GradientBoostingClassifier(),0.6327193140854849,0.9127061836258191,0.8072507687684956,0.7011956704092925,0.7391407423811993
RandomForestClassifier(),0.6145464632058443,0.9070573171650222,0.7868408676511971,0.6846915850882991,0.7205143452928048
AdaBoostClassifier(),0.6112971353655173,0.9065300896286812,0.7859832753696192,0.6806303796791426,0.7169368782262426
LogisticRegression(),0.5798547030165653,0.9020109964600437,0.7800448238276609,0.6418907385212922,0.6803806697308227
SVC(),0.5339394641543261,0.8960608571213377,0.7716957479299997,0.5896047954981535,0.6202601378036964
KNeighborsClassifier(n_neighbors=3),0.5489542857965553,0.8852150335166077,0.7010773395813317,0.6211267128128948,0.6464342224286762
DecisionTreeClassifier(),0.5911130468130521,0.8787376666415606,0.6999583972415159,0.7054901905700901,0.7026640371536941
GaussianNB(),0.5056568825562195,0.8021390374331551,0.606991540715071,0.668081362991384,0.622415313007314
